case_num,case_name,MSE,R-Square
0,50417_199cffee_13,0.0005177122075110674,0.9959673285484314
1,48516_2b3135bf_11,0.00023218845308292657,0.9921497702598572
2,41733_1ec9b00c_31,0.00023050136223901063,0.9776412844657898
3,31664_1e85c690_0,9.509912342764437e-05,0.994887113571167
4,21893_0500d043_18,0.000216896238271147,0.9955902695655823
5,31607_9a2f8140_6,0.00015986661310307682,0.9946340322494507
6,41774_88a7a483_18,0.00011501076369313523,0.9719252586364746
7,42143_51b31600_4,6.924711215106072e-06,0.9860079884529114
8,23104_3b70eba4_13,0.00016035136650316417,0.7362140417098999
9,129075_8fbf62e5_2,1.3555082659877371e-05,0.9642294049263
10,41624_a15f83c1_13,1.873138353403192e-05,0.9908020496368408
11,36088_1ea9c8a9_12,0.0001380452886223793,0.9967795610427856
12,126477_6596d136_14,2.6552084818831645e-05,0.9759326577186584
13,130441_10c43121_0,0.0005355734610930085,0.9972716569900513
14,133385_e6aa64d8_21,2.1244801246211864e-05,0.9860620498657227
15,26398_b99946da_1,0.0004122530808672309,0.9945781826972961
16,61198_0c99f50a_4,6.347299859044142e-06,0.600141167640686
17,26661_ab88a525_0,2.0078356101294048e-05,0.9767941236495972
18,129075_8fbf62e5_1,3.102756090811454e-05,0.9706987738609314
19,51891_9455ea02_1,0.0003544887586031109,0.9943749308586121
20,34770_6bba5bd4_13,8.169958891812712e-05,0.9983959197998047
21,21646_a2dd0d00_53,9.246933041140437e-05,0.9923137426376343
22,68909_4ae1bc2e_1,2.0285940991016105e-05,0.9809358716011047
23,27866_ece3076e_109,2.0336090528871864e-05,0.996793270111084
24,92134_52f13f49_6,2.5522194846416824e-05,0.9852913022041321
25,23342_7193a931_1,1.0125995686394162e-05,0.9859458208084106
26,126572_a2d6f794_14,2.145217649740516e-06,0.784340500831604
27,44344_3e0b0b0c_1,6.210183300936478e-07,0.9139906764030457
28,49331_3bf3bb84_4,5.877843068446964e-05,0.9989240765571594
29,33971_46bb0373_0,9.524320921627805e-05,0.9878339171409607
30,21517_bfe35b4c_1,2.402637983323075e-05,0.965151846408844
31,23165_369d62aa_6,0.00010397933510830626,0.998745858669281
32,81846_2907c980_0,0.00019061197235714644,0.9915388226509094
33,24168_a0ede173_111,8.592337690060958e-05,0.9915133714675903
34,53461_a5942665_1,2.4097293135127984e-05,0.9991062879562378
35,24907_c72322ea_13,6.191520515130833e-05,0.9766372442245483
36,133424_315bcaeb_7,2.0232020688126795e-05,0.9738189578056335
37,40490_916e13fe_0,7.50910330680199e-05,0.9976611137390137
38,38000_b5822e44_3,0.00011826208356069401,0.9982076287269592
39,138520_f4e0bc0b_63,3.6387573345564306e-05,0.9652845859527588
40,61294_9255796d_3,9.373305147164501e-06,0.9824612140655518
41,22176_272891b8_0,0.0001105481424019672,0.9439239501953125
42,24815_4f2a57e4_1,0.0001719122810754925,0.9949520230293274
43,113343_e692c488_1,7.641225238330662e-06,0.9884687662124634
44,33995_18423507_1,5.679012610926293e-05,0.9234985113143921
45,127897_029949fd_6,6.660899089183658e-05,0.9986680746078491
46,123181_4e56fb4f_0,0.0001503313542343676,0.9978221654891968
47,22670_9353c710_1,5.299766598909628e-06,0.9677014946937561
48,128642_4d72bf31_2,2.6640975193004124e-05,0.9855684638023376
49,146667_fe438b5b_6,0.00013618654338642955,0.991683304309845
50,38260_2a31c6df_2,0.00021529485820792615,0.9696578979492188
51,24443_996411f9_3,0.00044313521357253194,0.9899439215660095
52,142074_34e02b6d_1,4.342511965660378e-05,0.9869948029518127
53,41501_b627682a_15,8.786933904048055e-05,0.9923213720321655
54,24712_da77fe8f_0,4.767255813931115e-05,0.999108076095581
55,32960_0eaa1de8_26,0.00011337002069922164,0.997900128364563
56,130757_b2c47f8d_2,1.8001133867073804e-05,0.46200573444366455
57,104817_6d73dc41_0,4.310383155825548e-05,0.9951707720756531
58,79243_49539d9f_0,0.0004736896662507206,0.9897949695587158
59,82012_c533307b_1,5.120606510899961e-05,0.9522997140884399
60,107649_e651c5ca_1,2.226925607828889e-05,0.8447058796882629
61,40997_e3c88650_12,0.00014907440345268697,0.9961761832237244
