case_num,case_name,MSE,R-Square
0000,50417_199cffee_13,0.03194107487797737,0.7511962056159973
0001,48516_2b3135bf_11,0.0064440215937793255,0.7821288108825684
0002,41733_1ec9b00c_31,0.010549952276051044,-0.023348689079284668
0003,31664_1e85c690_0,0.0045796656049788,0.7537785768508911
0004,21893_0500d043_18,0.0016890346305444837,0.965660035610199
0005,31607_9a2f8140_6,0.001797600882127881,0.9396629333496094
0006,41774_88a7a483_18,0.001004336285404861,0.75483638048172
0007,42143_51b31600_4,0.00020697350555565208,0.581791341304779
0008,23104_3b70eba4_13,0.0011073811911046505,-0.8216973543167114
0009,129075_8fbf62e5_2,0.00042776588816195726,-0.12883436679840088
0010,41624_a15f83c1_13,0.00025238460511900485,0.8760676383972168
0011,36088_1ea9c8a9_12,0.0013918549520894885,0.9675294160842896
0012,126477_6596d136_14,0.0009125234209932387,0.1728695034980774
0013,130441_10c43121_0,0.19122928380966187,0.025823235511779785
0014,133385_e6aa64d8_21,0.0006786587182432413,0.5547565221786499
0015,26398_b99946da_1,0.00794297270476818,0.8955361247062683
0016,61198_0c99f50a_4,0.00013013408170081675,-7.198015213012695
0017,26661_ab88a525_0,0.0009327175794169307,-0.0780034065246582
0018,129075_8fbf62e5_1,0.002251416677609086,-1.1261513233184814
0019,51891_9455ea02_1,0.003103189170360565,0.9507580399513245
0020,34770_6bba5bd4_13,0.0009306710562668741,0.981727123260498
0021,21646_a2dd0d00_53,0.0013881410704925656,0.8846147060394287
0022,68909_4ae1bc2e_1,0.00044395835720933974,0.582780659198761
0023,27866_ece3076e_109,0.0010643635177984834,0.8321640491485596
0024,92134_52f13f49_6,0.0008441766258329153,0.5134932994842529
0025,23342_7193a931_1,0.0005244720377959311,0.2720685601234436
0026,126572_a2d6f794_14,4.194794382783584e-05,-3.2170419692993164
0027,44344_3e0b0b0c_1,7.548613211838529e-05,-9.454621315002441
0028,49331_3bf3bb84_4,0.0011084795696660876,0.9797093272209167
0029,33971_46bb0373_0,0.0028780612628906965,0.6323652267456055
0030,21517_bfe35b4c_1,0.0003765353176277131,0.4538688659667969
0031,23165_369d62aa_6,0.0037254379130899906,0.9550652503967285
0032,81846_2907c980_0,0.004044474568217993,0.8204673528671265
0033,24168_a0ede173_111,0.004410953726619482,0.5643302202224731
0034,53461_a5942665_1,0.0038705256301909685,0.8564469814300537
0035,24907_c72322ea_13,0.0008583105518482625,0.6761294603347778
0036,133424_315bcaeb_7,0.00030285472166724503,0.6080936193466187
0037,40490_916e13fe_0,0.00496432650834322,0.8453729748725891
0038,38000_b5822e44_3,0.0036644909996539354,0.9444606900215149
0039,138520_f4e0bc0b_63,0.0013942817458882928,-0.3302096128463745
0040,61294_9255796d_3,0.00019056815654039383,0.643420398235321
0041,22176_272891b8_0,0.001041363226249814,0.4717639088630676
0042,24815_4f2a57e4_1,0.00837765820324421,0.7540006041526794
0043,113343_e692c488_1,0.00019154076289851218,0.7109498381614685
0044,33995_18423507_1,0.00044538432848639786,0.4000266194343567
0045,127897_029949fd_6,0.0008500336552970111,0.983002781867981
0046,123181_4e56fb4f_0,0.003187858732417226,0.9538174867630005
0047,22670_9353c710_1,0.00012365120346657932,0.24642962217330933
0048,128642_4d72bf31_2,0.001804833416827023,0.022315502166748047
0049,146667_fe438b5b_6,0.009730277583003044,0.40578562021255493
0050,38260_2a31c6df_2,0.0016308145131915808,0.7701649069786072
0051,24443_996411f9_3,0.0024029924534261227,0.9454688429832458
0052,142074_34e02b6d_1,0.0016617103246971965,0.5023412108421326
0053,41501_b627682a_15,0.0047523463144898415,0.5847071409225464
0054,24712_da77fe8f_0,0.0008940151892602444,0.9832732081413269
0055,32960_0eaa1de8_26,0.003788196248933673,0.9298346042633057
0056,130757_b2c47f8d_2,0.00022289363550953567,-5.661552906036377
0057,104817_6d73dc41_0,0.00840090587735176,0.05878859758377075
0058,79243_49539d9f_0,0.0022345383185893297,0.9518596529960632
0059,82012_c533307b_1,0.0004334260884206742,0.5962482690811157
0060,107649_e651c5ca_1,0.00028632584144361317,-0.9966864585876465
0061,40997_e3c88650_12,0.0018176664598286152,0.9533761739730835
