case_num,case_name,MSE,R-Square
0,50417_199cffee_13,0.0017924917628988624,0.9860374331474304
1,48516_2b3135bf_11,0.001103824470192194,0.9626798629760742
2,41733_1ec9b00c_31,0.0031878831796348095,0.6907743215560913
3,31664_1e85c690_0,0.0006435948307625949,0.9653977155685425
4,21893_0500d043_18,0.0005007912986911833,0.9898183345794678
5,31607_9a2f8140_6,0.0003588026447687298,0.9879566431045532
6,41774_88a7a483_18,0.0004192866035737097,0.8976500034332275
7,42143_51b31600_4,6.750214379280806e-05,0.8636058568954468
8,23104_3b70eba4_13,0.0006117596058174968,-0.0063751935958862305
9,129075_8fbf62e5_2,4.498566340771504e-05,0.8812870383262634
10,41624_a15f83c1_13,0.00022231957700569183,0.890830934047699
11,36088_1ea9c8a9_12,0.00026803312357515097,0.9937470555305481
12,126477_6596d136_14,0.00025443939375691116,0.7693707346916199
13,130441_10c43121_0,0.002969584194943309,0.9848721027374268
14,133385_e6aa64d8_21,0.00027396995574235916,0.8202582001686096
15,26398_b99946da_1,0.0014157166006043553,0.9813808798789978
16,61198_0c99f50a_4,5.225050335866399e-05,-2.2916080951690674
17,26661_ab88a525_0,0.00014506933803204447,0.8323338031768799
18,129075_8fbf62e5_1,0.0011834925971925259,-0.1176447868347168
19,51891_9455ea02_1,0.000864102563355118,0.9862882494926453
20,34770_6bba5bd4_13,0.0002778954803943634,0.9945437908172607
21,21646_a2dd0d00_53,0.00037742959102615714,0.9686272144317627
22,68909_4ae1bc2e_1,0.00010038097389042377,0.9056648015975952
23,27866_ece3076e_109,0.0001323592005064711,0.9791287183761597
24,92134_52f13f49_6,0.0002524402807466686,0.8545163869857788
25,23342_7193a931_1,5.1872601034119725e-05,0.9280043840408325
26,126572_a2d6f794_14,1.3725305507250596e-05,-0.3798098564147949
27,44344_3e0b0b0c_1,3.4312092793697957e-06,0.5247869491577148
28,49331_3bf3bb84_4,0.00027309622964821756,0.995000958442688
29,33971_46bb0373_0,0.0007318665739148855,0.9065135717391968
30,21517_bfe35b4c_1,0.0002128892083419487,0.6912230253219604
31,23165_369d62aa_6,0.0002914941287599504,0.996484100818634
32,81846_2907c980_0,0.0005631857784464955,0.9750003814697266
33,24168_a0ede173_111,0.0029498946387320757,0.7086389660835266
34,53461_a5942665_1,0.00012135109136579558,0.9954992532730103
35,24907_c72322ea_13,0.0005393745959736407,0.7964751720428467
36,133424_315bcaeb_7,0.00013247967581264675,0.8285658955574036
37,40490_916e13fe_0,0.00033630183315835893,0.9895250201225281
38,38000_b5822e44_3,0.00034958773176185787,0.994701623916626
39,138520_f4e0bc0b_63,0.00041448103729635477,0.6045658588409424
40,61294_9255796d_3,4.705808169092052e-05,0.9119477868080139
41,22176_272891b8_0,0.0003302487311884761,0.8324798345565796
42,24815_4f2a57e4_1,0.001154090161435306,0.9661116003990173
43,113343_e692c488_1,6.191999273141846e-05,0.9065578579902649
44,33995_18423507_1,0.00017648121865931898,0.7622636556625366
45,127897_029949fd_6,0.00018908387573901564,0.9962190985679626
46,123181_4e56fb4f_0,0.00030934522510506213,0.9955185055732727
47,22670_9353c710_1,2.3233496904140338e-05,0.8584075570106506
48,128642_4d72bf31_2,0.0005378937930800021,0.708621084690094
49,146667_fe438b5b_6,0.000989243621006608,0.9395883083343506
50,38260_2a31c6df_2,0.0007375736022368073,0.8960517644882202
51,24443_996411f9_3,0.0008162616868503392,0.9814765453338623
52,142074_34e02b6d_1,5.714732105843723e-05,0.9828851819038391
53,41501_b627682a_15,0.0010048396652564406,0.9121901988983154
54,24712_da77fe8f_0,0.00013425378710962832,0.9974881410598755
55,32960_0eaa1de8_26,0.0002790340222418308,0.9948316812515259
56,130757_b2c47f8d_2,5.297711686580442e-05,-0.583310604095459
57,104817_6d73dc41_0,0.0005385688273236156,0.9396604299545288
58,79243_49539d9f_0,0.0011749003315344453,0.9746882319450378
59,82012_c533307b_1,0.00010652843047864735,0.9007650017738342
60,107649_e651c5ca_1,3.9529684727313e-05,0.7243406772613525
61,40997_e3c88650_12,0.0007219443214125931,0.9814818501472473
62,143029_70554264_4,0.0007630319450981915,0.8956954479217529
63,27054_342fcf5c_3,0.00019296104437671602,0.7986060380935669
64,41648_577daf16_17,0.0001686331379460171,0.9361639618873596
65,89720_4e65191c_1,0.0006398672703653574,0.9844990968704224
66,75382_1b589ea9_12,5.565564788412303e-05,0.8409021496772766
67,120371_433ba1ca_2,0.0003177169128321111,0.9722912907600403
68,49024_b7f02205_13,0.0013828757219016552,0.938920259475708
69,51022_47816098_7,0.0012864504242315888,0.9867900609970093
70,41634_4f5d0edb_0,6.666868284810334e-05,0.8666885495185852
71,23170_6ea8ded5_3,0.0005175932892598212,0.9913380146026611
72,69589_cd2fa794_8,0.0021827283781021833,0.8572794795036316
73,41504_85e300ee_0,0.001781787141226232,0.7567154765129089
74,128996_42176b10_0,0.0007841411861591041,0.9365330934524536
75,38920_e81879c2_7,3.203632513759658e-05,-37.530757904052734
76,148051_c59af578_6,0.0001550769666209817,0.9957764744758606
77,65494_16d62db5_0,0.00011964127043029293,0.8396802544593811
78,25473_0991d519_0,0.0005475878715515137,0.9871351718902588
79,75270_25a261ef_5,0.0003265063278377056,0.9674213528633118
80,49613_1b97c07b_12,3.436288170632906e-05,0.635036826133728
81,115633_a2c63339_1,0.00016647085431031883,0.9507612586021423
82,52366_63042db4_1,0.00036668695975095034,0.9916543364524841
83,30282_88c6933c_5,0.0005226536304689944,0.9374734163284302
84,53474_f29e4438_12,0.0009283920517191291,0.9696058034896851
85,24026_1dd4094b_21,0.0006783066201023757,0.9226256608963013
86,21225_c081eae3_2,0.0010052059078589082,0.8671326041221619
87,35057_9af89947_8,0.0003367290773894638,0.7295102477073669
88,43529_4804941b_20,0.0003869905194733292,0.9882063865661621
89,22103_fd11c71b_3,0.0002542552538216114,0.9682512879371643
90,51536_a18dc325_0,0.000605490175075829,0.9678654670715332
91,24230_636208ab_13,0.0007051319698803127,0.5669922232627869
92,41117_1b3271f2_56,0.0015373316127806902,0.9762611389160156
93,140499_419d5823_0,0.00028169486904516816,0.9756495356559753
94,115524_a949e82c_2,4.128470391151495e-05,0.8391790390014648
95,29833_0ed4880f_3,0.00021375318465288728,0.9961540699005127
96,127556_4823a42a_6,0.00028731219936162233,0.9517379403114319
97,23960_48cc0f21_19,5.368400161387399e-05,0.2471989393234253
98,132987_ba18d2eb_11,9.030441287904978e-05,0.8270790576934814
