case_num,case_name,MSE,R-Square
0000,50417_199cffee_13,0.036124445497989655,0.7186099886894226
0001,48516_2b3135bf_11,0.009001233614981174,0.6956698894500732
0002,41733_1ec9b00c_31,0.011299150995910168,-0.09602117538452148
0003,31664_1e85c690_0,0.005889286752790213,0.6833679676055908
0004,21893_0500d043_18,0.0019112116424366832,0.9611429572105408
0005,31607_9a2f8140_6,0.00268039689399302,0.9100315570831299
0006,41774_88a7a483_18,0.0034978846088051796,0.14614856243133545
0007,42143_51b31600_4,0.00041742154280655086,0.15656203031539917
0008,23104_3b70eba4_13,0.0018353065242990851,-2.0191709995269775
0009,129075_8fbf62e5_2,0.00023979393881745636,0.3672060966491699
0010,41624_a15f83c1_13,0.00039065329474397004,0.8081713914871216
0011,36088_1ea9c8a9_12,0.0009894391987472773,0.9769173860549927
0012,126477_6596d136_14,0.0006582867354154587,0.403315007686615
0013,130441_10c43121_0,0.18613125383853912,0.05179405212402344
0014,133385_e6aa64d8_21,0.0007714514504186809,0.4938786029815674
0015,26398_b99946da_1,0.016103560104966164,0.7882101535797119
0016,61198_0c99f50a_4,0.0002593056997284293,-15.335397720336914
0017,26661_ab88a525_0,0.0007959108334034681,0.08011317253112793
0018,129075_8fbf62e5_1,0.003485722467303276,-2.2917821407318115
0019,51891_9455ea02_1,0.003820342943072319,0.9393780827522278
0020,34770_6bba5bd4_13,0.0012466944754123688,0.9755222797393799
0021,21646_a2dd0d00_53,0.0024413212668150663,0.797072172164917
0022,68909_4ae1bc2e_1,0.00039228680543601513,0.6313400864601135
0023,27866_ece3076e_109,0.0018375522922724485,0.710242509841919
0024,92134_52f13f49_6,0.0010075477184727788,0.4193410873413086
0025,23342_7193a931_1,0.0005438152002170682,0.2452215552330017
0026,126572_a2d6f794_14,0.0006401297287084162,-63.35247039794922
0027,44344_3e0b0b0c_1,0.00014079890388529748,-18.500259399414062
0028,49331_3bf3bb84_4,0.0022628644946962595,0.95857834815979
0029,33971_46bb0373_0,0.0034952121786773205,0.5535322427749634
0030,21517_bfe35b4c_1,0.0013568711001425982,-0.9680213928222656
0031,23165_369d62aa_6,0.00895968172699213,0.8919318318367004
0032,81846_2907c980_0,0.003004712052643299,0.8666219711303711
0033,24168_a0ede173_111,0.026903986930847168,-1.6573059558868408
0034,53461_a5942665_1,0.0032322052866220474,0.8801215291023254
0035,24907_c72322ea_13,0.006322025321424007,-1.3855209350585938
0036,133424_315bcaeb_7,0.00026981678092852235,0.6508461236953735
