0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.683224218140822e-05,1.074092051567277e-05,6.9967236413504e-06,2.6410951249999925e-05,1.9468488972052e-05,1.9847704606945626e-05,4.129025001020636e-06,7.593811915285187e-06,4.963926585332956e-06,3.839768032776192e-05,5.781558343187498e-07,4.947889010509243e-06,1.571608436279348e-06,2.272988967888523e-05,2.8433891202439554e-05,1.6868410966708325e-05,8.05585386842722e-06,1.476219949836377e-06,6.889476480864687e-06,1.6831279936013743e-05,8.77578349900432e-06,8.528273610863835e-06,2.0722592353195068e-07,9.76763476501219e-06,6.7062906055070926e-06,1.1268097296124324e-05,7.187851224443875e-06,1.8218035620520823e-05,5.93782488067518e-06,3.484640956230578e-06,1.5090475244505797e-05,5.434576087282039e-05,2.1964372365346208e-07,3.574118181859376e-06,2.0988734661386843e-07,3.924863449356053e-06,8.631195669295266e-06,8.493832979183935e-07,2.0026574929943308e-05,4.910096777166473e-06,6.374358054017648e-05,5.582465746556409e-06,4.652116786019178e-06,8.931536285672337e-06,1.924655953189358e-05,6.763281362509588e-06,1.1033749615307897e-05,1.956127334779012e-06,5.514075382961892e-06,6.469594154623337e-06,5.921549927734304e-06,4.0637301026436035e-06,7.790559720888268e-06,4.684317445935449e-06,3.0950754990044516e-06,7.00298232914065e-06,2.403208964096848e-05,1.8938442735816352e-05,4.082736631971784e-05,1.5216478459478822e-05,9.307794243795797e-06,1.9098282791674137e-05,1.1919576081709238e-06,2.766479838101077e-06,9.629008673073258e-06,8.160658580891322e-06,1.4122701031737961e-05,2.3166447135736234e-05,1.7364507129968842e-06,3.731242395588197e-05,4.835100298805628e-06,3.315850790386321e-06,5.513265477929963e-06,4.9337926611769944e-05,1.2866763427155092e-05,2.1077006749692373e-05,7.162381280068075e-06,4.752609129354823e-06,1.199437065224629e-06,3.05723392557411e-06,5.006797437090427e-05,2.7761901947087608e-05,9.675207365944516e-06,2.4505106921424158e-05,1.081233949662419e-05,1.5998006347217597e-05,2.979555029014591e-05,0.00012006962788291276,1.4785789062443655e-05,1.0668063623597845e-06,2.1385925720096566e-05,1.1743153663701378e-05,3.2073505281005055e-05,3.771976480493322e-05,2.397142816334963e-05,1.057954432326369e-05,1.0312292943126522e-05,2.2582819383387687e-06,1.0068353731185198e-05,1.9671764675877057e-05,8.931987395044416e-06,2.9698561775148846e-05,7.302416520360566e-07,2.0426081391633488e-05,2.152359456886188e-06,8.612175406597089e-06,3.3917335713340435e-06,1.2586837101480342e-06,3.6506028209259966e-06,5.317905561241787e-06,1.1640030379567179e-06,8.131580216286238e-06,8.1840908023878e-06,8.397426540796005e-07,1.2135131328250282e-05,3.244366553190048e-07,3.0695818509229866e-07,9.998896530305501e-06,1.0729459972935729e-05,2.832162635968416e-06,4.910284042125568e-05,5.16588261234574e-06,1.969386539713014e-05,3.986847332271282e-06,4.008307769254316e-06,9.482795576332137e-06,1.1733789506251924e-05,4.085428827238502e-06,7.537922556366539e-06,1.8357723092776723e-05,1.0026816426034202e-06,7.491335509257624e-06,1.2318269000388682e-06,6.779796876799082e-06,7.368943897745339e-06,2.6215184334432706e-05,1.0063242825708585e-06,6.4321548052248545e-06,6.568637763848528e-05,3.2801079214550555e-05,3.313442357466556e-05,1.4453682524617761e-05,1.7298441434832057e-06,0.00010512320295674726,7.171656193349918e-07,1.2198767763038632e-05,3.9961842048796825e-06,4.6403233682212885e-06,3.356372417329112e-06,2.1827056571055437e-06,3.400689456611872e-05,3.3184593917212624e-07,1.6828409570734948e-05,4.581022949423641e-05,4.785042619914748e-06,1.426983089913847e-06,5.083571522845887e-06,2.3923978460516082e-06,7.019240456429543e-06,1.1427708159317262e-05,7.373017751888256e-07,1.3705922356166411e-05,2.376955671934411e-05,2.075476459140191e-06,7.09754158378928e-06,1.5209313914965605e-06,1.449778392270673e-05,6.0426177697081584e-06,1.059105579770403e-05,4.474959041544935e-06,2.114861854352057e-05,1.7611175280762836e-05,2.102154667227296e-06,2.4291066438308917e-05,9.104765922529623e-06,9.884934115689248e-06,2.8637507057283074e-05,8.659660124976654e-06,3.47102718478709e-06,1.8933108094643103e-06,8.469066415273119e-06,8.818899914331269e-06,1.5812203855603002e-05,0.00011888455628650263,4.716850980912568e-06,5.993944341753377e-06,3.666616976261139e-05,2.683634647837607e-06,1.619493377802428e-05,5.974193481961265e-05,3.344746573930024e-06
7.259715403051814e-06,1.7800786736188456e-05,5.424055416369811e-06,2.8575066608027555e-05,1.3036787095188629e-05,2.1065454347990453e-05,1.2524825251603033e-05,1.7726701116771437e-05,1.2996227269468363e-05,2.880032843677327e-05,2.389264750490838e-07,4.5965171011630446e-06,2.6461189008841757e-06,2.9562786949099973e-05,1.2233339475642424e-05,3.09854258375708e-05,4.857869043917162e-06,3.3400414167772396e-07,7.632365850440692e-07,2.141782533726655e-05,1.3624121493194252e-05,1.9145518308505416e-05,2.9063832585052296e-07,1.9278946638223715e-05,3.5236480471212417e-06,2.0572988432832062e-05,1.352843719359953e-05,1.1751351848943159e-05,2.0765787667187396e-06,1.9555252947611734e-05,2.9364429792622104e-05,5.096663153381087e-05,1.3084800798424112e-07,1.0584441042738035e-05,1.8376479715698224e-07,5.803778435620188e-07,1.4518736861646175e-05,2.385444076935528e-06,2.119993769156281e-05,5.654726919601671e-06,8.296719897771254e-05,1.2334285202086903e-05,9.984315511246677e-06,1.623493699298706e-05,4.087282650289126e-05,8.618625543022063e-06,4.708965934696607e-05,3.835188181255944e-06,8.539698683307506e-06,2.4855241917975945e-06,2.6340908334532287e-06,3.732750337803736e-05,2.2845658804726554e-06,5.905520083615556e-06,4.353224539954681e-06,5.421079094958259e-06,2.5742396246641874e-05,9.37916775001213e-06,8.202854223782197e-05,2.678083910723217e-05,9.385669727635104e-06,1.532013811811339e-05,2.0403681446623523e-06,1.0789543694045278e-06,1.6101424989756197e-05,1.764563967299182e-05,1.7012058378895745e-05,4.2299070628359914e-05,2.4609246338513913e-06,3.0320639780256897e-05,1.2134233656979632e-05,3.4679028431128245e-06,7.459268999809865e-06,3.523402483551763e-05,7.409513273159973e-06,2.768030208244454e-05,1.255849656445207e-05,2.997167484863894e-06,3.845544824798708e-07,3.0628996228188043e-06,5.3905816457699984e-05,1.2166780834377278e-05,2.079735349980183e-05,1.1099038601969369e-05,4.297109626349993e-06,0.00016792782116681337,5.0901140639325604e-05,3.136260784231126e-05,5.875387796550058e-05,1.2649126119868015e-06,1.3680362826562487e-05,1.3281310202728491e-05,0.00032662629382684827,4.3043091864092276e-05,3.5532608308130875e-05,3.020432086486835e-05,1.0135276170331053e-05,4.138253643759526e-06,1.4586559700546786e-05,4.4150524445285555e-06,1.0897515494434629e-05,9.342800694867037e-06,8.407603786508844e-07,1.4877708736094064e-06,5.583965958066983e-06,7.153799288062146e-06,3.703669790411368e-06,4.0804039258546254e-07,2.968827402582974e-06,3.8142670746310614e-06,1.1093413831986254e-06,8.269830686913338e-06,1.3896577002014965e-05,2.699518745430396e-06,4.470776912057772e-05,1.0524665867706062e-06,2.5174000484184944e-07,2.6619949494488537e-05,1.1882773833349347e-05,3.3785065625124844e-06,3.450053191045299e-05,6.173423025757074e-05,2.8975820896448568e-05,3.6252586141927168e-06,1.1856395758513827e-06,1.2349880307738204e-05,4.4177348172524944e-05,1.1194518947377219e-06,1.694800448603928e-05,0.00015226882533170283,8.645027378406667e-07,8.757663636060897e-06,1.0742687663878314e-06,2.6413674731884385e-06,1.7384703824063763e-05,4.5652041080757044e-06,6.117276711847808e-07,2.5240937247872353e-05,2.8160284273326397e-05,3.633708183770068e-05,6.926779315108433e-05,2.702838355617132e-05,1.1958999266425963e-06,8.753540168981999e-05,3.838272277789656e-07,1.08412259578472e-05,4.991484729544027e-06,3.8067169043642934e-06,7.271147296705749e-06,1.1627807907643728e-06,4.15745671489276e-05,4.10573591125285e-07,3.071459650527686e-05,5.468175731948577e-05,3.614104207372293e-05,6.709628337375761e-07,3.2745681437518215e-06,1.019039018501644e-06,9.125486030825414e-06,2.0346664314274676e-05,1.968142669284134e-06,1.3041656529821921e-05,8.107618668873329e-06,2.355350716243265e-06,7.393782198050758e-06,1.246926899511891e-06,2.6780016924021766e-05,1.89675029105274e-05,8.916375008993782e-06,8.230558705690783e-06,2.4426602976745926e-05,7.052733417367563e-05,3.3095125218096655e-06,1.7769974874681793e-05,1.5979343515937217e-05,1.4781493518967181e-05,2.0436569684534334e-05,3.6675805858976673e-06,4.030960553791374e-06,9.134212632488925e-06,5.42708175998996e-06,2.729854941208032e-06,1.93999530893052e-05,6.411870708689094e-05,4.859561613557162e-06,5.241595317784231e-06,5.967774541204562e-06,1.6533082316527725e-06,2.539856723160483e-05,2.7423189749242738e-05,6.914473942742916e-06
7.317704330489505e-06,1.7860162188299e-05,7.605344580952078e-05,2.3558119210065342e-05,3.328876573505113e-06,9.611429959477391e-06,0.00015142009942792356,1.0843204108823556e-05,3.865835878968937e-06,3.7267545849317685e-05,2.608171598694753e-07,3.70918291991984e-06,3.049358610951458e-06,4.1830946429399773e-05,1.5733547115814872e-05,2.1329969968064688e-05,9.849977504927665e-05,6.515837185361306e-07,8.021034773264546e-06,1.2335925930528902e-05,3.997345265815966e-05,3.055999741263804e-06,8.299261025968008e-06,1.3890788977732882e-05,2.32708475778054e-06,1.8170918338000774e-05,2.3837155822548084e-05,9.954767847375479e-06,1.78727555066871e-06,2.751572901615873e-05,3.2642426958773285e-05,4.174630157649517e-05,1.348561369240997e-07,2.3659707949263975e-05,1.0113237181030854e-07,5.569813765760045e-07,1.0451934031152632e-05,1.5355299183283933e-05,5.109103585709818e-05,6.340305844787508e-06,0.0001257809199159965,9.070729720406234e-05,0.0001449956907890737,1.540081575512886e-05,0.00013258411490824074,1.894558772619348e-05,1.8196513337898068e-05,4.336725851317169e-06,1.15460743472795e-05,7.125682259356836e-06,2.1424418719107052e-06,5.23399239682476e-06,2.3913200948300073e-06,8.732375135878101e-06,5.496693120221607e-06,7.607520092278719e-05,1.7096503142965958e-05,1.4097634448262397e-05,0.00013293909432832152,2.475508881616406e-05,1.7593127267900854e-05,4.364167125459062e-06,5.02536579460866e-07,2.5995136638812255e-06,1.7077192751457915e-05,1.2539476301753893e-05,1.655734195082914e-05,7.541719969594851e-05,4.176851871307008e-05,2.481916999386158e-05,4.95843960379716e-06,4.380380687507568e-06,9.147509445028845e-06,2.974000381072983e-05,0.0001659593835938722,7.934891618788242e-05,1.7076707081287168e-05,5.84352201258298e-05,1.4614028032156057e-07,4.080931830685586e-06,2.8971717256354168e-05,3.674935578601435e-05,1.3252310964162461e-05,7.934603672765661e-06,8.33697231428232e-06,1.9779346985160373e-05,1.5623360013705678e-05,5.984279414406046e-05,0.00010621162800816819,1.4981191270635463e-05,2.927771674876567e-05,9.100315764953848e-06,0.00010536499758018181,3.3222193451365456e-05,1.6259189578704536e-05,2.300869527971372e-05,8.226543286582455e-06,1.3850789173375233e-06,9.970104656531475e-06,1.3443544048641343e-05,1.9928078472730704e-05,1.2938532563566696e-05,3.142973241665459e-07,2.6037765564979054e-05,5.765693003922934e-06,6.0568763728952035e-06,4.434752554516308e-06,7.040951004455565e-07,7.068162176437909e-06,6.156361905595986e-06,1.9150493244524114e-05,1.1031221220036969e-05,1.2062037967552897e-05,1.1360524467818323e-06,5.2459199650911614e-05,2.7094042707176413e-06,2.47581027679189e-07,1.5612955394317396e-05,1.5337618606281467e-05,4.644376076612389e-06,8.799840725259855e-05,1.0199867574556265e-05,2.301588210684713e-05,2.426120772724971e-06,4.195393103145761e-06,3.2982845823426032e-06,1.611907828191761e-05,4.6846826080582105e-06,8.901458386390004e-06,2.125978426192887e-05,1.18234095225489e-06,1.9070224880124442e-05,1.3808995390718337e-05,1.6435857105534524e-05,2.4520688384654932e-05,9.33645605982747e-06,2.472555024723988e-06,6.702346581732854e-05,3.787466266658157e-05,2.064460022666026e-05,5.272678754408844e-05,3.2773736165836453e-05,6.716068128298502e-07,6.181660864967853e-05,7.27601729977323e-07,0.00015810318291187286,4.501618150243303e-06,5.912476990488358e-05,0.00012052390957251191,4.684871782956179e-06,2.7136245989822783e-05,8.614499051873281e-07,2.1234229279798456e-05,7.654693763470277e-05,0.00013660656986758113,9.473564546169655e-07,4.6385689529415686e-06,1.9793911633314565e-05,5.146368948771851e-06,1.8431435819366015e-05,1.0800498785101809e-05,1.1795684258686379e-05,5.445950591820292e-05,6.393572402885184e-05,5.427554697234882e-06,3.253056274843402e-05,1.0510422725928947e-05,2.7323205358698033e-05,5.845485247846227e-06,8.3712293417193e-06,5.102588329464197e-05,2.0545792722259648e-05,6.749732710886747e-05,3.911733801942319e-05,1.611769948794972e-05,1.7504842617199756e-05,5.957375469733961e-05,2.3441548364644405e-06,2.858633479263517e-06,6.060420855646953e-05,4.821468246518634e-05,5.134064622325241e-07,1.40848624141654e-05,3.171074786223471e-05,4.2995270632673055e-06,8.741727651795372e-05,1.919294163599261e-06,4.317911952966824e-05,1.1607457963691559e-05,1.9333052478032187e-05,5.219042122917017e-06
9.72891939454712e-06,2.6326875740778632e-05,6.253580977499951e-06,1.3420044524536934e-05,3.902482603734825e-06,5.085080829303479e-06,6.78712103763246e-06,6.749618478352204e-06,7.132213340810267e-06,8.4026760305278e-05,2.2767692087199976e-07,2.82197675005591e-06,3.7778079331474146e-06,3.1774525268701836e-05,1.1697133231791668e-05,1.1784441994677763e-05,5.5084524319681805e-06,4.6111085794109385e-07,1.3815512147630216e-06,9.984317330236081e-06,2.038793718384113e-05,6.139593551779399e-06,1.4589724742108956e-05,5.272888301988132e-06,2.3127004169509746e-06,7.270691639860161e-06,2.1643360014422797e-05,9.242166015610565e-06,1.3891659591536154e-06,3.38243116857484e-05,3.932177787646651e-05,7.391578401438892e-05,1.5027001154521713e-07,4.286174771550577e-06,1.1826580248452956e-07,3.031533708508505e-07,5.956109362159623e-06,3.751026451936923e-05,6.645752000622451e-05,6.830009169789264e-06,0.00019599753431975842,5.09838828293141e-05,4.984290171705652e-06,7.45662464396446e-06,3.513148840283975e-05,1.0325566108804196e-05,1.543567850603722e-05,3.2045081752585247e-06,5.864956619916484e-05,4.242450359015493e-06,2.5304229893663432e-06,4.3392278712417465e-06,2.5273882329202024e-06,1.0250359991914593e-05,1.2553727174235974e-05,6.251680133573245e-06,3.7552061257883906e-05,5.930391125730239e-06,0.00010565263801254332,1.2308549230510835e-05,7.61732917453628e-06,3.7369939036580035e-06,1.243633732883609e-06,6.612769993807888e-07,9.781990229384974e-06,8.062156666710507e-06,1.0844304597412702e-05,9.45151987252757e-05,2.273656491524889e-06,2.55019203905249e-05,2.911407818828593e-06,2.79921787296189e-05,6.55978965369286e-06,2.4166331058950163e-05,9.633849003876094e-06,4.048647952004103e-06,7.958883543324191e-06,2.3841835172788706e-06,1.6094163868274336e-07,1.2420506209309679e-05,2.8029193344991654e-05,9.92406639852561e-05,5.73072065890301e-06,7.44847829992068e-06,4.7401681513292715e-06,1.849696309363935e-05,9.535294339002576e-06,7.585459115944104e-06,0.00011941370030399412,2.5806812118389644e-06,1.803382474463433e-05,4.153827376285335e-06,3.1013765692478046e-05,2.161880547646433e-05,1.3617012882605195e-05,2.0542460333672352e-05,6.247380042623263e-06,6.483016932179453e-06,4.150448148720898e-06,3.170263653373695e-06,2.7549436708795838e-05,4.238463588990271e-06,4.339670738318091e-07,9.421369213669095e-06,1.5898924630164402e-06,6.916345228091814e-06,4.8798533498484176e-06,7.156464789659367e-07,4.123274266021326e-06,7.2171851570601575e-06,2.5129922960331896e-06,5.50064441995346e-06,4.991647529095644e-06,1.4559717556039686e-06,6.742076220689341e-05,7.4574122663761955e-06,2.8728118195431307e-07,2.1624107830575667e-05,7.924292731331661e-06,3.911381554644322e-06,3.3769487345125526e-05,6.837549790361663e-06,1.0487238796486054e-05,2.023872866629972e-06,4.015444574179128e-06,2.4305588794959476e-06,8.947726200858597e-06,4.029918727610493e-06,3.0805515507381642e-06,1.2464310202631168e-05,8.593922302679857e-07,9.84394227998564e-06,2.149628699044115e-06,2.3911873086035484e-06,3.7033627450000495e-05,6.101532562752254e-06,1.5543117797278683e-06,1.2433365554898046e-05,2.6463327230885625e-05,2.091404894599691e-05,4.413763963384554e-05,3.5682052839547396e-05,7.007346312093432e-07,4.349543814896606e-05,3.0187825927896483e-07,9.733020306157414e-06,4.288209311198443e-06,1.3416814908850938e-05,3.3467033517808886e-06,1.960927875188645e-06,2.0195633624098264e-05,6.207132514646219e-07,1.1690843166434206e-05,3.4379791031824425e-05,0.00019262511341366917,7.881811825427576e-07,4.792686922883149e-06,1.3197008001952781e-06,3.2531770557397977e-06,7.247195298987208e-06,8.600154615123756e-06,4.4736061681760475e-06,1.2254481589479838e-05,3.7847091789444676e-06,2.70095711130125e-06,2.8808251499867765e-06,1.1748804354283493e-05,4.590307071339339e-05,2.071291646643658e-06,5.349736511561787e-06,1.5245017493725754e-05,1.0802275937749073e-05,2.903567292378284e-06,1.3143177966412622e-05,8.461635843559634e-06,1.8609242033562623e-05,1.5011566574685276e-05,1.0563617252046242e-06,2.393721842963714e-06,8.558380613976624e-06,3.0824235182080884e-06,6.058197072889016e-07,7.09137566445861e-06,2.433957160974387e-05,3.022659484486212e-06,5.731854798796121e-06,2.344041149626719e-06,2.0877751012449153e-06,7.358189577644225e-06,1.142190467362525e-05,2.274872713314835e-06
5.8505343076831196e-06,2.0772651623701677e-05,1.9328859707457013e-05,1.228978180733975e-05,4.807308869203553e-06,4.307094059186056e-06,3.994049984612502e-05,1.649424848437775e-05,4.261942194716539e-06,5.984836752759293e-05,2.0421146018634317e-07,2.590603344287956e-06,1.7062297047232278e-05,3.029900290130172e-05,5.229732778389007e-06,9.083345503313467e-06,3.119422399322502e-05,6.743834433109441e-07,3.2229793305305066e-06,6.573518021468772e-06,2.4159327949746512e-05,2.762776603049133e-06,3.573028152459301e-06,3.2898715289775282e-06,2.368379000472487e-06,6.215560006239684e-06,0.00011745184019673616,1.9932214854634367e-05,1.917319650601712e-06,2.58971776929684e-05,5.551785943680443e-05,0.00010081366053782403,1.7125975659837422e-07,4.219701622787397e-06,8.591590727746734e-08,5.541130576602882e-07,3.757842205232009e-05,5.0891718274215236e-05,9.542044426780194e-05,6.9369648372230586e-06,0.00013329883222468197,4.4458200136432424e-05,4.129431545152329e-05,4.468177394301165e-06,2.451678847137373e-05,1.042070198309375e-05,2.1290063159540296e-05,2.8161359750811243e-06,1.315687859460013e-05,4.9361524361302145e-06,2.5600554636184825e-06,3.1022018447401933e-06,1.5038635865494143e-06,1.0416732038720511e-05,3.769987597479485e-05,1.9333010641275905e-05,2.6193052690359764e-05,1.4024123629496899e-05,9.421137656318024e-05,1.1324984370730817e-05,9.040659278980456e-06,3.104756387983798e-06,1.571730194882548e-06,6.318745136013604e-07,5.332588443707209e-06,2.186331585107837e-05,9.911811503116041e-06,4.4047454139217734e-05,7.83292307460215e-06,1.9863417037413456e-05,1.0658469363988843e-05,5.872723249922274e-06,7.905116035544779e-06,3.7435580452438444e-05,3.562228812370449e-05,1.700723441899754e-05,3.0286232686194126e-06,1.919220267154742e-05,3.1500755426350224e-07,8.220712288675713e-07,3.273388938396238e-05,0.0012138673337176442,3.923041276721051e-06,1.0645007932907902e-05,5.145570867171045e-06,1.185962446470512e-05,4.963316769135417e-06,7.806568646628875e-06,7.652021304238588e-05,8.612277270003688e-06,2.0343448341009207e-05,5.8442419685889035e-06,3.0052104193600826e-05,1.4129756891634315e-05,1.2869746569776908e-05,1.9808856450254098e-05,8.497737326251809e-06,3.837975782516878e-06,2.8006318189000012e-06,4.846287993132137e-06,3.1957297323970124e-05,2.928733010776341e-06,6.628184223700373e-07,2.815913649101276e-05,1.4996966513081134e-07,6.390727321559098e-06,4.450149845069973e-06,3.0998760394140845e-06,4.296742190490477e-06,0.00011503590212669224,1.138931474997662e-05,4.268048087396892e-06,3.558292519301176e-06,1.5435090290338849e-06,9.307527216151357e-05,1.6931759091676213e-05,2.3088571765583765e-07,9.706164746603463e-06,4.182599241175922e-06,4.135119525017217e-06,4.6799286792520434e-05,3.22163191412983e-06,5.853506081621163e-06,1.3835875734002911e-06,3.647799985628808e-06,1.8293823131898534e-06,5.401460839493666e-06,4.459749561647186e-06,3.058779157072422e-06,1.0640185791999102e-05,7.449706345141749e-07,1.0015621228376403e-05,8.109587724902667e-06,1.095596144295996e-05,6.430884968722239e-05,4.977208391210297e-06,2.0839720491494518e-06,1.737014827085659e-05,2.045425571850501e-05,3.256905620219186e-05,5.611047527054325e-05,3.189994822605513e-05,1.0443189921716112e-06,3.6519257264444605e-05,7.263967063408927e-07,3.6191831895848736e-05,4.7808339331822935e-06,2.2704993170918897e-05,2.5241124603780918e-05,4.933113814331591e-06,2.242668779217638e-05,5.022983486924204e-07,9.032860361912753e-06,4.201694900984876e-05,6.555917207151651e-05,8.814876650831138e-07,3.665523763629608e-06,6.886224582558498e-06,2.673245489859255e-06,6.38197707303334e-06,2.1576593098870944e-06,2.5481417651462834e-06,1.8013246517512016e-05,2.13882522075437e-05,2.7496832899487345e-06,1.3966965525469277e-05,1.6547350242035463e-05,1.363429782941239e-05,2.6237262318318244e-06,6.802046300435904e-06,9.308269909524824e-06,7.071319032547763e-06,2.6632371373125352e-05,1.99379264813615e-05,4.8689953473513015e-06,2.460712676111143e-05,1.0247066711599473e-05,9.177542779070791e-07,2.5921044652932324e-06,2.0792200302821584e-05,3.0477440304821357e-05,3.3804647046054015e-06,5.592631168838125e-06,2.6688889192882925e-05,2.6632019398675766e-06,2.0320261683082208e-05,2.1821228983753826e-06,1.0312629456166178e-05,6.881553872517543e-06,9.007994776766282e-06,2.6878587959799916e-06
